<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.SBER:SMAL;60;20220221;080000;250.2800000;250.2800000;250.2800000;250.2800000;4
MOEX.SBER:SMAL;60;20220221;090000;259.9900000;259.9900000;255.0100000;255.0100000;2
MOEX.SBER:SMAL;60;20220221;100000;256.0100000;256.4000000;256.0100000;256.4000000;6
MOEX.SBER:SMAL;60;20220221;110000;255.0000000;255.0000000;242.7800000;242.7800000;25
MOEX.SBER:SMAL;60;20220221;120000;239.7200000;242.1000000;237.8300000;240.3000000;19
MOEX.SBER:SMAL;60;20220221;130000;243.4700000;243.4700000;235.0100000;235.0100000;12
MOEX.SBER:SMAL;60;20220221;140000;238.5000000;238.5000000;235.0500000;235.0500000;7
MOEX.SBER:SMAL;60;20220221;150000;231.0000000;233.2500000;226.0000000;228.0000000;29
MOEX.SBER:SMAL;60;20220221;160000;230.0000000;235.9700000;228.0000000;230.0000000;13
MOEX.SBER:SMAL;60;20220221;170000;230.0000000;230.0000000;211.4500000;211.4500000;22
MOEX.SBER:SMAL;60;20220221;180000;214.0300000;214.0300000;210.0000000;210.0000000;16
MOEX.SBER:SMAL;60;20220221;190000;204.2900000;204.2900000;204.2900000;204.2900000;4
MOEX.SBER:SMAL;60;20220221;200000;201.5900000;213.0000000;201.5900000;213.0000000;4
MOEX.SBER:SMAL;60;20220221;210000;210.5000000;213.7800000;206.7000000;206.7000000;18
MOEX.SBER:SMAL;60;20220221;220000;204.7800000;204.7800000;200.0000000;200.0000000;4
MOEX.SBER:SMAL;60;20220221;230000;201.0700000;201.0700000;186.0000000;187.0000000;31
MOEX.SBER:SMAL;60;20220222;080000;199.9800000;204.9900000;190.5000000;196.0000000;26
MOEX.SBER:SMAL;60;20220222;090000;198.0900000;204.9900000;198.0900000;201.0000000;5
MOEX.SBER:SMAL;60;20220222;100000;202.0000000;214.9900000;191.1700000;191.1700000;13
MOEX.SBER:SMAL;60;20220222;110000;186.0100000;186.0100000;182.1200000;182.1200000;12
MOEX.SBER:SMAL;60;20220222;120000;183.7800000;198.9700000;182.1000000;198.9400000;20
MOEX.SBER:SMAL;60;20220222;130000;187.0100000;187.0100000;187.0000000;187.0000000;10
MOEX.SBER:SMAL;60;20220222;140000;184.0100000;198.8900000;184.0100000;198.8900000;14
MOEX.SBER:SMAL;60;20220222;150000;184.0500000;195.0000000;184.0500000;192.0000000;22
MOEX.SBER:SMAL;60;20220222;160000;191.0100000;217.9900000;191.0100000;217.9900000;31
MOEX.SBER:SMAL;60;20220222;170000;217.9900000;217.9900000;217.9900000;217.9900000;1
MOEX.SBER:SMAL;60;20220222;180000;210.9800000;218.0000000;210.9800000;218.0000000;2
MOEX.SBER:SMAL;60;20220222;190000;215.6000000;217.9900000;215.6000000;217.9900000;6
MOEX.SBER:SMAL;60;20220222;200000;217.9800000;217.9800000;217.9800000;217.9800000;1
MOEX.SBER:SMAL;60;20220222;220000;215.0000000;215.0000000;215.0000000;215.0000000;1
MOEX.SBER:SMAL;60;20220223;000000;206.0800000;206.0800000;206.0800000;206.0800000;1
MOEX.SBER:SMAL;60;20220224;110000;180.0000000;180.0000000;151.0000000;151.0000000;4
MOEX.SBER:SMAL;60;20220224;120000;180.0000000;190.0000000;150.1400000;150.1400000;18
MOEX.SBER:SMAL;60;20220224;130000;120.0000000;179.3500000;88.6900000;179.3500000;47
MOEX.SBER:SMAL;60;20220224;140000;179.3400000;179.3400000;91.0100000;115.0000000;41
MOEX.SBER:SMAL;60;20220224;150000;115.0000000;178.7400000;99.7500000;148.9700000;114
MOEX.SBER:SMAL;60;20220224;160000;107.0000000;107.0000000;104.7300000;104.7300000;14
MOEX.SBER:SMAL;60;20220224;170000;107.0000000;107.5000000;104.7300000;104.7300000;6
MOEX.SBER:SMAL;60;20220224;180000;104.0000000;104.0000000;99.7500000;102.0000000;12
MOEX.SBER:SMAL;60;20220224;190000;110.0000000;139.9800000;109.0000000;139.9800000;8
MOEX.SBER:SMAL;60;20220224;200000;110.7800000;112.3100000;105.0000000;112.3100000;8
MOEX.SBER:SMAL;60;20220224;210000;122.9800000;139.9300000;115.7800000;115.7800000;5
MOEX.SBER:SMAL;60;20220224;220000;139.7900000;145.9700000;105.0000000;143.7800000;15
MOEX.SBER:SMAL;60;20220224;230000;135.0000000;150.0000000;128.0000000;128.0000000;26
MOEX.SBER:SMAL;60;20220225;000000;130.0000000;135.0000000;105.7800000;135.0000000;14
MOEX.SBER:SMAL;60;20220225;110000;159.9800000;159.9800000;145.0100000;145.0100000;11
MOEX.SBER:SMAL;60;20220225;120000;145.0000000;163.7800000;126.1400000;148.7700000;38
MOEX.SBER:SMAL;60;20220225;130000;127.0000000;148.7700000;119.6400000;125.0000000;14
MOEX.SBER:SMAL;60;20220225;140000;124.0100000;129.9700000;120.0000000;120.0000000;21
MOEX.SBER:SMAL;60;20220225;150000;120.0000000;129.9800000;117.0000000;118.7800000;18
MOEX.SBER:SMAL;60;20220225;160000;118.7800000;122.7800000;118.7800000;122.0000000;28
MOEX.SBER:SMAL;60;20220225;170000;139.9800000;139.9900000;139.9800000;139.9900000;3
MOEX.SBER:SMAL;60;20220225;180000;135.0000000;139.9900000;133.0000000;133.0000000;8
MOEX.SBER:SMAL;60;20220225;190000;130.0000000;130.0000000;130.0000000;130.0000000;9
MOEX.SBER:SMAL;60;20220225;200000;158.9700000;158.9700000;158.9700000;158.9700000;3
MOEX.SBER:SMAL;60;20220225;220000;130.0200000;130.0200000;130.0000000;130.0000000;12
MOEX.SBER:SMAL;60;20220226;000000;130.0000000;130.0000000;130.0000000;130.0000000;2
MOEX.SBER:SMAL;60;20220324;110000;135.0000000;165.7500000;135.0000000;150.0000000;64
MOEX.SBER:SMAL;60;20220324;120000;150.0000000;155.9000000;141.0000000;141.0000000;58
MOEX.SBER:SMAL;60;20220324;130000;145.7200000;145.9700000;135.0000000;145.9700000;38
MOEX.SBER:SMAL;60;20220324;140000;138.0000000;145.9700000;138.0000000;145.9700000;21
MOEX.SBER:SMAL;60;20220325;110000;155.9700000;159.8600000;129.0000000;129.0000000;59
MOEX.SBER:SMAL;60;20220325;120000;131.0200000;131.0200000;128.5100000;128.5100000;11
MOEX.SBER:SMAL;60;20220325;130000;129.5100000;129.5100000;129.0100000;129.0100000;9
MOEX.SBER:SMAL;60;20220325;140000;129.0100000;129.0100000;129.0100000;129.0100000;1
MOEX.SBER:SMAL;60;20220328;110000;130.0000000;134.9700000;124.5100000;124.5100000;31
MOEX.SBER:SMAL;60;20220328;120000;124.5100000;126.7000000;124.5100000;124.5100000;4
MOEX.SBER:SMAL;60;20220328;130000;134.9700000;134.9700000;124.5100000;126.5000000;19
MOEX.SBER:SMAL;60;20220328;140000;126.0000000;126.0000000;125.6000000;126.0000000;16
MOEX.SBER:SMAL;60;20220329;110000;130.0000000;133.9900000;125.0100000;133.9900000;4
MOEX.SBER:SMAL;60;20220329;120000;133.0000000;133.0000000;125.7900000;125.7900000;6
MOEX.SBER:SMAL;60;20220329;130000;136.5000000;136.5000000;130.0000000;130.0000000;34
MOEX.SBER:SMAL;60;20220329;140000;127.0000000;127.0000000;125.7900000;127.0000000;15
MOEX.SBER:SMAL;60;20220330;110000;130.0200000;135.9900000;130.0200000;134.0300000;20
MOEX.SBER:SMAL;60;20220330;120000;131.3900000;132.5000000;131.3900000;132.5000000;18
MOEX.SBER:SMAL;60;20220330;130000;132.0000000;132.2000000;131.5000000;132.2000000;8
MOEX.SBER:SMAL;60;20220330;140000;133.7700000;133.7700000;131.5100000;133.0000000;9
MOEX.SBER:SMAL;60;20220331;110000;136.0000000;137.1600000;134.0100000;135.0100000;8
MOEX.SBER:SMAL;60;20220331;120000;138.0000000;139.0000000;137.0100000;139.0000000;23
MOEX.SBER:SMAL;60;20220331;130000;138.5000000;141.0000000;138.5000000;140.0000000;23
MOEX.SBER:SMAL;60;20220331;140000;140.0000000;144.7700000;138.5000000;144.7700000;11
MOEX.SBER:SMAL;60;20220331;150000;144.5000000;144.7800000;144.5000000;144.7800000;6
MOEX.SBER:SMAL;60;20220331;160000;144.7800000;144.8500000;142.2600000;142.2600000;22
MOEX.SBER:SMAL;60;20220331;170000;144.8200000;144.8200000;144.8200000;144.8200000;5
MOEX.SBER:SMAL;60;20220401;110000;146.0000000;151.0000000;145.0100000;151.0000000;23
MOEX.SBER:SMAL;60;20220401;120000;154.0000000;172.7900000;149.0000000;149.0000000;51
MOEX.SBER:SMAL;60;20220401;130000;150.0000000;152.6700000;150.0000000;152.6700000;4
MOEX.SBER:SMAL;60;20220401;140000;155.9700000;155.9700000;144.0100000;155.9700000;6
MOEX.SBER:SMAL;60;20220401;150000;155.9700000;155.9700000;155.9700000;155.9700000;6
MOEX.SBER:SMAL;60;20220401;160000;150.0100000;150.0100000;150.0100000;150.0100000;4
MOEX.SBER:SMAL;60;20220401;170000;154.9500000;154.9500000;154.9500000;154.9500000;1
MOEX.SBER:SMAL;60;20220401;180000;154.9400000;154.9400000;154.9400000;154.9400000;1
MOEX.SBER:SMAL;60;20220401;190000;154.4900000;154.4900000;154.4900000;154.4900000;3
MOEX.SBER:SMAL;60;20220404;110000;168.9700000;168.9700000;159.9900000;160.0000000;7
MOEX.SBER:SMAL;60;20220404;120000;159.9900000;160.0000000;148.7900000;148.7900000;15
MOEX.SBER:SMAL;60;20220404;130000;159.4800000;162.9900000;159.4800000;162.9900000;2
MOEX.SBER:SMAL;60;20220404;140000;155.0100000;163.0000000;155.0100000;163.0000000;9
MOEX.SBER:SMAL;60;20220404;150000;155.0300000;155.0300000;155.0300000;155.0300000;2
MOEX.SBER:SMAL;60;20220404;160000;160.0100000;163.9600000;160.0100000;161.0200000;11
MOEX.SBER:SMAL;60;20220404;170000;162.0200000;162.5500000;162.0100000;162.5500000;8
MOEX.SBER:SMAL;60;20220404;180000;162.5600000;163.9700000;160.0100000;160.0100000;11
MOEX.SBER:SMAL;60;20220404;190000;163.9800000;165.7700000;163.9800000;165.7700000;3
MOEX.SBER:SMAL;60;20220405;110000;166.0000000;166.0500000;163.0000000;163.0000000;8
MOEX.SBER:SMAL;60;20220405;120000;163.0000000;163.0000000;162.0000000;163.0000000;5
MOEX.SBER:SMAL;60;20220405;130000;158.8700000;158.8700000;157.0100000;157.0100000;15
MOEX.SBER:SMAL;60;20220405;140000;160.0200000;169.9800000;153.7800000;153.7800000;6
MOEX.SBER:SMAL;60;20220405;150000;150.0000000;151.9900000;150.0000000;151.9900000;6
MOEX.SBER:SMAL;60;20220405;160000;158.5000000;158.5000000;158.5000000;158.5000000;5
MOEX.SBER:SMAL;60;20220405;170000;157.0000000;157.0000000;157.0000000;157.0000000;5
MOEX.SBER:SMAL;60;20220405;180000;155.5000000;155.5000000;155.5000000;155.5000000;1
MOEX.SBER:SMAL;60;20220406;110000;148.0000000;148.0000000;148.0000000;148.0000000;1
MOEX.SBER:SMAL;60;20220406;120000;150.4200000;150.4200000;150.4200000;150.4200000;7
MOEX.SBER:SMAL;60;20220406;130000;139.0100000;139.0100000;139.0100000;139.0100000;10
MOEX.SBER:SMAL;60;20220406;140000;152.7000000;152.7000000;152.7000000;152.7000000;4
MOEX.SBER:SMAL;60;20220406;150000;156.4200000;156.4200000;145.0300000;145.0300000;4
